market,entry_mode,fold,trades,wins,sum_net_r,mean_net_r,pf,winrate,max_drawdown_r,top3_ticker_r,residual_ex_top3_r,max_positive_month_share,median_net_r,avg_win_r,avg_loss_r
KR,DAILY_5_20_CROSS,2024_SEP_DEC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,DAILY_5_20_CROSS,2025_Q1,3,0,-2.984411259161123,-0.9948037530537076,0.0,0.0,2.984411259161123,-2.984411259161123,0.0,0.0,-1.0177475814827606,0.0,0.9948037530537076
KR,DAILY_5_20_CROSS,2025_Q2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,DAILY_5_20_CROSS,2025_Q3,15,8,68.48022110957223,4.565348073971482,16.812352629987526,0.5333333333333333,2.8550942247482123,36.677023680853154,31.803197428719074,1.0,0.07937756774869645,9.101378305419123,0.6186864762543944
KR,DAILY_5_20_CROSS,2025_Q4,14,8,2.8463336664556884,0.20330954760397774,2.0079347910560035,0.5714285714285714,2.8239264005101097,2.3706710843070544,0.475662582148634,0.5597087389286994,0.5091743331522764,0.7087825083707248,0.4706544000850182
KR,CROSS_60M_REGIME,2024_SEP_DEC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,CROSS_60M_REGIME,2025_Q1,1,0,-0.8338164310256827,-0.8338164310256827,0.0,0.0,0.8338164310256827,-0.8338164310256827,0.0,0.0,-0.8338164310256827,0.0,0.8338164310256827
KR,CROSS_60M_REGIME,2025_Q2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,CROSS_60M_REGIME,2025_Q3,2,0,-0.5090603792267676,-0.2545301896133838,0.0,0.0,0.5090603792267676,-0.5090603792267676,0.0,0.0,-0.2545301896133838,0.0,0.2545301896133838
KR,CROSS_60M_REGIME,2025_Q4,8,7,4.255257430080478,0.5319071787600598,7.590063612623602,0.875,0.6457080963420924,2.4584698279622605,1.7967876021182176,0.7054900061804786,0.6908088164785473,0.7001379323460816,0.6457080963420924
KR,MA20_RECLAIM_60M,2024_SEP_DEC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,MA20_RECLAIM_60M,2025_Q1,1,0,-0.8338164310256827,-0.8338164310256827,0.0,0.0,0.8338164310256827,-0.8338164310256827,0.0,0.0,-0.8338164310256827,0.0,0.8338164310256827
KR,MA20_RECLAIM_60M,2025_Q2,4,4,32.36309681968725,8.090774204921813,inf,1.0,0.0,31.335511741963195,1.027585077724055,0.9682482463452339,10.409602212551931,8.090774204921813,0.0
KR,MA20_RECLAIM_60M,2025_Q3,3,1,-0.6668423507551553,-0.22228078358505177,0.48650541191462354,0.3333333333333333,1.2986355966117453,-0.6668423507551553,0.0,1.0,-0.46648005521703156,0.6317932458565899,0.6493177983058726
KR,MA20_RECLAIM_60M,2025_Q4,20,8,0.12272680894967847,0.006136340447483924,1.0248063127684963,0.4,4.947402304204593,1.3138513155362017,-1.1911245065865232,0.5148684656473628,-0.17343320979192656,0.633766139144284,0.41228352535038276
KR,RSI40_45_RECOVERY_60M,2024_SEP_DEC,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,RSI40_45_RECOVERY_60M,2025_Q1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,RSI40_45_RECOVERY_60M,2025_Q2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,RSI40_45_RECOVERY_60M,2025_Q3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KR,RSI40_45_RECOVERY_60M,2025_Q4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
