symbol,yf_ticker,name,market,theme,relation
257720,257720.KQ,실리콘투,KOSDAQ,COSMETICS,DIRECT
018290,018290.KQ,브이티,KOSDAQ,COSMETICS,DIRECT
241710,241710.KQ,코스메카코리아,KOSDAQ,COSMETICS,DIRECT
950140,950140.KQ,잉글우드랩,KOSDAQ,COSMETICS,DIRECT
237880,237880.KQ,클리오,KOSDAQ,COSMETICS,DIRECT
352480,352480.KQ,씨앤씨인터내셔널,KOSDAQ,COSMETICS,DIRECT
114840,114840.KQ,아이패밀리에스씨,KOSDAQ,COSMETICS,DIRECT
010170,010170.KQ,대한광통신,KOSDAQ,OPTICAL_COMMS,DIRECT
138080,138080.KQ,오이솔루션,KOSDAQ,OPTICAL_COMMS,DIRECT
050890,050890.KQ,쏠리드,KOSDAQ,OPTICAL_COMMS,DIRECT
218410,218410.KQ,RFHIC,KOSDAQ,OPTICAL_COMMS,RELATED_RF
115440,115440.KQ,우리넷,KOSDAQ,OPTICAL_COMMS,DIRECT
039560,039560.KQ,다산네트웍스,KOSDAQ,OPTICAL_COMMS,RELATED_NETWORK
100590,100590.KQ,머큐리,KOSDAQ,OPTICAL_COMMS,RELATED_NETWORK
024060,024060.KQ,흥구석유,KOSDAQ,OIL_RELATED,PETROLEUM_DISTRIBUTION
000440,000440.KQ,중앙에너비스,KOSDAQ,OIL_RELATED,PETROLEUM_DISTRIBUTION
124560,124560.KQ,태웅로직스,KOSDAQ,SHIPPING_RELATED,LOGISTICS
039420,039420.KQ,케이엘넷,KOSDAQ,SHIPPING_RELATED,PORT_LOGISTICS_IT
054300,054300.KQ,팬스타엔터프라이즈,KOSDAQ,SHIPPING_RELATED,SHIPPING_RELATED
